[cs-service][INFO] [2016-04-22 09:46:17] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.cache.config.internalCacheAdvisor' of type [class org.springframework.cache.interceptor.BeanFactoryCacheOperationSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:18] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sharesession' of type [class org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:18] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sessionManager' of type [class org.apache.shiro.web.session.mgt.DefaultWebSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:18] com.alibaba.druid.pool.DruidDataSource.init(669) | {dataSource-1} inited
[cs-service][INFO] [2016-04-22 09:46:18] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'dataSource' of type [class com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:19] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sqlSessionFactory' of type [class org.mybatis.spring.SqlSessionFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:19] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sqlSessionFactory' of type [class org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:19] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysMenuMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysRoleMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysRoleMenuMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysUserMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysUserRoleMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'TUserCopyMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'TUserLoginMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysUserMapper' of type [class com.sun.proxy.$Proxy19] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysUserService' of type [class com.leweiyou.service.service.sys.SysUserService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.afterPropertiesSet(129) | Initializing EhCache CacheManager
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'cacheManagerFactory' of type [class org.springframework.cache.ehcache.EhCacheManagerFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'cacheManagerFactory' of type [class net.sf.ehcache.CacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'cacheManager' of type [class org.springframework.cache.ehcache.EhCacheCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.cache.interceptor.CacheInterceptor#0' of type [class org.springframework.cache.interceptor.CacheInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'userRealm' of type [class com.leweiyou.service.shiro.UserRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'securityManager' of type [class org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'simplePermFilter' of type [class com.leweiyou.service.shiro.PermissionsAuthorizationFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 09:46:20] org.hibernate.validator.internal.util.Version.<clinit>(27) | HV000001: Hibernate Validator 5.0.2.Final
[cs-service][INFO] [2016-04-22 09:46:22] TestUserService.testQueryPage(50) | PageInfo:PageInfo{pageNum=1, pageSize=10, size=1, startRow=1, endRow=1, total=1, pages=1, list=Page{pageNum=1, pageSize=10, startRow=0, endRow=10, total=1, pages=1, reasonable=true, pageSizeZero=false}, firstPage=1, prePage=0, nextPage=0, lastPage=1, isFirstPage=true, isLastPage=true, hasPreviousPage=false, hasNextPage=false, navigatePages=8, navigatepageNums=[1]}
[cs-service][INFO] [2016-04-22 09:46:22] TestUserService.testQueryPage2(56) | PageInfo:PageInfo{pageNum=1, pageSize=10, size=1, startRow=1, endRow=1, total=1, pages=1, list=Page{pageNum=1, pageSize=10, startRow=0, endRow=10, total=1, pages=1, reasonable=true, pageSizeZero=false}, firstPage=1, prePage=0, nextPage=0, lastPage=1, isFirstPage=true, isLastPage=true, hasPreviousPage=false, hasNextPage=false, navigatePages=8, navigatepageNums=[1]}
[cs-service][INFO] [2016-04-22 09:46:22] org.springframework.context.support.AbstractApplicationContext.doClose(862) | Closing org.springframework.context.support.GenericApplicationContext@1b55e1e6: startup date [Fri Apr 22 09:46:17 CST 2016]; root of context hierarchy
[cs-service][INFO] [2016-04-22 09:46:22] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.destroy(181) | Shutting down EhCache CacheManager
[cs-service][INFO] [2016-04-22 09:46:22] com.alibaba.druid.pool.DruidDataSource.close(1385) | {dataSource-1} closed
[cs-service][INFO] [2016-04-22 10:09:09] org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(256) | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[cs-service][INFO] [2016-04-22 10:09:09] org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(182) | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@539e922d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4f8ef33e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@32039440, org.springframework.test.context.transaction.TransactionalTestExecutionListener@8fa0f67, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@590937cb]
[cs-service][INFO] [2016-04-22 10:09:09] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [applicationContext-service.xml]
[cs-service][INFO] [2016-04-22 10:09:09] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from URL [file:/E:/workspace/cs-service/trunk/target/classes/spring-mybatis.xml]
[cs-service][INFO] [2016-04-22 10:09:10] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring-mybatis.xml]
[cs-service][INFO] [2016-04-22 10:09:10] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(829) | Overriding bean definition for bean 'dataSource': replacing [Generic bean: class [com.alibaba.druid.pool.DruidDataSource]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=init; destroyMethodName=close; defined in URL [file:/E:/workspace/cs-service/trunk/target/classes/spring-mybatis.xml]] with [Generic bean: class [com.alibaba.druid.pool.DruidDataSource]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=init; destroyMethodName=close; defined in class path resource [spring-mybatis.xml]]
[cs-service][INFO] [2016-04-22 10:09:10] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(829) | Overriding bean definition for bean 'sqlSessionFactory': replacing [Generic bean: class [org.mybatis.spring.SqlSessionFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [file:/E:/workspace/cs-service/trunk/target/classes/spring-mybatis.xml]] with [Generic bean: class [org.mybatis.spring.SqlSessionFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [spring-mybatis.xml]]
[cs-service][INFO] [2016-04-22 10:09:10] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(829) | Overriding bean definition for bean 'transactionManager': replacing [Generic bean: class [org.springframework.jdbc.datasource.DataSourceTransactionManager]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [file:/E:/workspace/cs-service/trunk/target/classes/spring-mybatis.xml]] with [Generic bean: class [org.springframework.jdbc.datasource.DataSourceTransactionManager]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [spring-mybatis.xml]]
[cs-service][INFO] [2016-04-22 10:09:10] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(829) | Overriding bean definition for bean 'transactionAdvice': replacing [Generic bean: class [org.springframework.transaction.interceptor.TransactionInterceptor]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Generic bean: class [org.springframework.transaction.interceptor.TransactionInterceptor]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
